Age,Experience,Education,JobLevel,Department,JobRole,PerformanceRating,ProjectsCompleted,Certifications,WeeklyHours,OvertimeHours,TeamSize,LeadershipScore,SkillMatchScore,YearsInRole,Promotions,EmploymentType,LocationType,CompanySize,JobSatisfaction,Salary_INR
1.5567,1.3968,1,0,1,0,-0.7736,-0.1533,1.2153,0.6896,1.103,1.3529,-0.3574,0.9357,0.513,-0.4169,1,2,0,1.3603,1971376.78
-0.5431,-0.4864,3,2,3,1,-0.7736,-0.7884,1.2153,0.5582,1.3373,0.8111,-1.3965,1.1616,0.0169,-1.3096,1,1,0,-0.7707,993364.37
0.0868,0.246,1,2,3,1,-1.516,0.0281,1.2153,1.0839,-1.2403,1.3529,-1.512,-0.2969,1.5052,-0.4169,0,2,1,1.3603,1300965.84
-1.068,-1.0095,2,2,3,1,-1.516,0.8447,-0.6473,-0.8873,1.5717,0.5402,0.3353,-0.5297,-1.4715,-0.4169,0,2,1,-1.4811,737095.5
0.7168,0.8737,0,1,1,0,0.7112,-1.2421,-0.6473,1.6095,-0.0687,0.5402,-0.9347,0.155,-1.4715,-1.3096,1,0,1,-0.0604,1760221.16
-0.5431,-0.6956,3,1,1,2,-1.516,0.5725,0.7497,0.5582,-1.2403,-1.0852,0.6431,-0.5366,0.0169,0.4758,0,1,1,-1.4811,1039448.2
-0.7531,-0.9049,0,0,1,1,-0.0312,-0.8792,0.7497,0.6896,0.1657,0.2693,1.2204,0.4221,0.513,1.3685,0,1,0,-1.4811,863702.57
-0.3331,-0.3818,2,0,1,0,-0.7736,0.391,0.284,-1.4129,0.8687,0.8111,-0.1265,1.1342,-0.9754,1.3685,1,1,1,-1.4811,1159146.66
-1.278,-1.428,1,0,1,2,-0.7736,0.2096,0.284,-0.7559,-1.4747,-1.3561,-1.3965,1.3465,-0.9754,-1.3096,0,0,1,-0.0604,558641.33
1.2417,1.083,3,2,3,0,-0.0312,-1.5142,-0.6473,1.0839,0.8687,-1.6271,0.2968,0.5933,-0.9754,1.3685,1,1,1,-0.7707,1873528.84
-1.698,-1.7419,2,2,0,0,-0.7736,1.2983,0.284,0.821,-1.709,0.5402,0.6047,-0.2421,-1.4715,-0.4169,0,1,0,-0.7707,489455.31
-1.173,-1.7419,2,1,3,0,0.7112,0.8447,-1.1129,0.164,0.8687,-1.6271,1.3359,-0.5229,-1.4715,0.4758,0,1,0,0.65,956421.36
-0.4381,-0.4864,2,0,0,2,-0.7736,-0.8792,-1.1129,0.2954,1.103,-0.5434,-0.0496,0.9767,-1.4715,1.3685,1,2,0,-0.7707,1129739.4
