Age,Experience,Education,JobLevel,Department,JobRole,PerformanceRating,ProjectsCompleted,Certifications,WeeklyHours,OvertimeHours,TeamSize,LeadershipScore,SkillMatchScore,YearsInRole,Promotions,EmploymentType,LocationType,CompanySize,JobSatisfaction,Salary_INR
53.0,30.0,BTech,Junior,HR,Analyst,2.0,19.0,6.0,52.0,12.0,13.0,4.6,88.9,5.0,1.0,Full-Time,Remote,MNC,5.0,1971376.78
33.0,12.0,PhD,Senior,Sales,Developer,2.0,12.0,6.0,51.0,13.0,11.0,1.9,92.2,4.0,0.0,Full-Time,Office,MNC,2.0,993364.37
39.0,19.0,BTech,Senior,Sales,Developer,1.0,21.0,6.0,55.0,2.0,13.0,1.6,70.9,7.0,1.0,Contract,Remote,Startup,5.0,1300965.84
28.0,7.0,MTech,Senior,Sales,Developer,1.0,30.0,2.0,40.0,14.0,10.0,6.4,67.5,1.0,1.0,Contract,Remote,Startup,1.0,737095.5
45.0,25.0,BCA,Mid,HR,Analyst,4.0,7.0,2.0,59.0,7.0,10.0,3.1,77.5,1.0,0.0,Full-Time,Hybrid,Startup,3.0,1760221.16
33.0,10.0,PhD,Mid,HR,Manager,1.0,27.0,5.0,51.0,2.0,4.0,7.2,67.4,4.0,2.0,Contract,Office,Startup,1.0,1039448.2
31.0,8.0,BCA,Junior,HR,Developer,,11.0,5.0,52.0,8.0,9.0,8.7,81.4,5.0,3.0,Contract,Office,MNC,1.0,863702.57
35.0,13.0,MTech,Junior,HR,Analyst,2.0,25.0,4.0,36.0,11.0,11.0,5.2,91.8,2.0,3.0,Full-Time,Office,Startup,1.0,1159146.66
26.0,3.0,BTech,Junior,HR,Manager,2.0,23.0,4.0,41.0,1.0,3.0,1.9,94.9,2.0,0.0,Contract,Hybrid,Startup,3.0,558641.33
50.0,27.0,PhD,Senior,Sales,Analyst,3.0,4.0,2.0,55.0,11.0,2.0,6.3,83.9,2.0,3.0,Full-Time,Office,Startup,2.0,1873528.84
22.0,0.0,MTech,Senior,Finance,Analyst,2.0,35.0,4.0,53.0,0.0,10.0,7.1,71.7,1.0,1.0,Contract,Office,MNC,2.0,489455.31
27.0,-2.0,MTech,Mid,Sales,Analyst,4.0,30.0,1.0,48.0,11.0,2.0,9.0,67.6,1.0,2.0,Contract,Office,MNC,4.0,956421.36
34.0,12.0,MTech,Junior,Finance,Manager,2.0,11.0,1.0,49.0,12.0,6.0,5.4,89.5,1.0,3.0,Full-Time,Remote,MNC,2.0,1129739.4
51.0,30.0,BCA,Senior,HR,Analyst,3.0,12.0,6.0,45.0,8.0,12.0,4.9,88.1,3.0,1.0,Full-Time,Remote,Startup,5.0,2029619.0
41.0,20.0,MTech,Junior,Sales,Developer,1.0,19.0,0.0,55.0,0.0,2.0,3.7,55.6,6.0,1.0,Contract,Hybrid,Startup,2.0,1455502.91
