Age,Experience,Education,JobLevel,Department,JobRole,PerformanceRating,ProjectsCompleted,Certifications,WeeklyHours,OvertimeHours,TeamSize,LeadershipScore,SkillMatchScore,YearsInRole,Promotions,EmploymentType,LocationType,CompanySize,JobSatisfaction,Salary_INR
1.143,1.2941,0,0,3,2,0.6785,0.5072,1.1349,-1.685,-1.0383,0.5067,-0.3399,-1.3471,-1.4745,1.3452,0,0,1,-1.3596,1957865.05
-0.285,-0.4254,3,2,3,2,1.3823,0.6871,0.2612,0.5173,1.0598,0.2417,-0.5692,1.4373,1.5953,-1.3381,1,0,1,0.0508,1234939.57
-0.999,-1.1335,3,0,0,1,-0.0253,-1.3813,1.5717,-0.7215,0.5935,-0.8183,-0.6456,0.9525,0.0604,1.3452,0,1,1,0.0508,729277.86
0.327,0.2826,1,1,1,0,1.3823,-1.1115,1.5717,0.7925,0.3604,0.7717,-1.3333,1.1048,1.0837,-1.3381,1,0,1,-0.6544,1509817.98
0.123,0.1815,1,1,3,2,-0.7292,0.4173,-0.1756,1.0678,1.0598,1.0367,-0.5692,1.3819,1.5953,-0.4436,1,0,1,0.756,1400207.3
0.531,0.3838,0,0,3,0,0.6785,0.5971,-1.0493,-1.685,-1.2715,-0.5533,-1.4861,0.0728,-0.9629,1.3452,1,1,1,0.0508,1517299.77
-0.693,-0.7289,2,1,2,0,0.6785,0.2374,-0.6124,-1.1344,-1.2715,-1.3483,1.0354,-0.1765,-1.4745,-0.4436,0,2,1,0.0508,1111843.34
-0.693,-0.7289,3,0,2,1,-0.7292,0.8669,1.1349,0.3796,-1.2715,1.5667,-0.2635,-0.599,-0.4513,1.3452,1,1,0,0.756,923322.31
0.633,0.6872,3,2,1,2,-0.7292,0.2374,1.5717,-0.9968,-0.5721,0.5067,-0.1107,0.3014,-0.9629,1.3452,1,2,0,1.4612,1735218.01
0.633,0.7884,0,2,3,1,-0.0253,-0.0324,-0.1756,-0.7215,1.2929,1.3017,1.4175,-0.1696,-1.4745,0.4508,1,2,1,0.0508,1751858.21
-1.509,-1.6392,1,1,3,1,0.6785,-0.2122,0.6981,-0.0333,-0.1058,1.3017,0.6152,-0.1765,0.572,-1.3381,1,0,1,-1.3596,598547.58
0.429,0.4849,2,0,2,2,0.6785,-0.2122,-1.4861,0.3796,0.5935,-0.2883,-1.6007,1.4996,-0.4513,-0.4436,0,1,1,-0.6544,1620889.11
-1.611,-1.7404,1,0,3,2,-0.0253,-1.6511,-1.4861,-1.4097,-0.339,-1.0833,1.6085,1.6659,0.572,-0.4436,0,0,1,0.0508,635739.71
0.633,0.5861,1,1,0,0,-1.433,-1.4713,-0.6124,0.7925,1.2929,1.3017,-0.8366,1.0148,1.0837,-0.4436,0,0,0,0.0508,1633248.96
1.245,1.193,1,2,2,2,-0.0253,0.8669,-1.0493,-0.171,-1.0383,-0.0233,-1.2569,0.8763,-1.4745,-1.3381,0,2,0,1.4612,1937974.32
-1.611,-1.4369,1,1,1,0,1.3823,1.1367,-0.1756,0.3796,0.5935,0.5067,0.9972,0.6131,0.572,0.4508,1,0,1,-1.3596,718389.15
0.327,0.2826,3,2,2,0,0.6785,1.4065,1.1349,-0.3086,0.8267,-1.0833,0.0803,-1.167,1.0837,-0.4436,0,1,0,-0.6544,1623635.46
1.5511,1.4964,3,0,3,0,-0.7292,-0.2122,-1.0493,-0.4462,-1.0383,-1.3483,-0.1489,-1.5341,-1.4745,-1.3381,1,0,0,0.0508,2113348.04
-0.591,-0.5266,1,2,1,2,1.3823,1.4965,-1.4861,1.6184,0.5935,-0.0233,-0.7984,0.6477,-1.4745,1.3452,0,0,1,-0.6544,1074883.7
0.429,0.2826,2,1,2,1,0.6785,-0.1223,-1.0493,0.9302,0.3604,-0.0233,0.2331,0.7793,0.572,-0.4436,0,2,1,0.756,1486633.46
0.735,0.5861,0,0,0,0,-0.0253,0.6871,-1.4861,-1.2721,1.526,-0.8183,-0.6838,-1.5826,-1.4745,-0.4436,0,1,1,0.0508,1553473.68
